Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.42     0.00     1102     0.00     0.00  _ZNSt16allocator_traitsISaI14NominalFeatureEE9constructIS0_JRKS0_EEEvRS1_PT_DpOT0_
  0.00      0.42     0.00     1044     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISsE9constructISsIRKSsEEEvPT_DpOT0_
  0.00      0.42     0.00     1044     0.00     0.00  _ZNSt16allocator_traitsISaISsEE12_S_constructISsIRKSsEEENSt9enable_ifIXsrNS1_18__construct_helperIT_IDpT0_EEE5valueEvE4typeERS0_PS7_DpOS8_
  0.00      0.42     0.00     1044     0.00     0.00  _ZNSt16allocator_traitsISaISsEE9constructISsIRKSsEEEvRS0_PT_DpOT0_
  0.00      0.42     0.00     1044     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::push_back(std::string const&)
  0.00      0.42     0.00     1026     0.00     0.00  _ZN9__gnu_cxx13new_allocatorIiE9constructIiJiEEEvPT_DpOT0_
  0.00      0.42     0.00     1026     0.00     0.00  _ZNSt5dequeIiSaIiEE12emplace_backIJiEEEvDpOT_
  0.00      0.42     0.00     1026     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int&&)
  0.00      0.42     0.00     1026     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int&&)
  0.00      0.42     0.00      304     0.00     0.00  DataSet::print() const
  0.00      0.42     0.00      304     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.42     0.00      266     0.00     0.00  std::move_iterator<std::string*>::move_iterator(std::string*)
  0.00      0.42     0.00      266     0.00     0.00  NominalFeature* std::__make_move_if_noexcept_iterator<NominalFeature*, NominalFeature*>(NominalFeature*)
  0.00      0.42     0.00      266     0.00     0.00  std::move_iterator<std::string*> std::__make_move_if_noexcept_iterator<std::string*, std::move_iterator<std::string*> >(std::string*)
  0.00      0.42     0.00      152     0.00     0.00  void std::_Destroy_aux<false>::__destroy<NominalFeature*>(NominalFeature*, NominalFeature*)
  0.00      0.42     0.00      152     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::string*>(std::string*, std::string*)
  0.00      0.42     0.00      152     0.00     0.00  void std::_Destroy<NominalFeature*>(NominalFeature*, NominalFeature*)
  0.00      0.42     0.00      152     0.00     0.00  void std::_Destroy<std::string*>(std::string*, std::string*)
